Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
06N1398	ROBERT I. FREY	USA	OR	Klamath	42.66	-121.85	Breeding	MAY	31	2006	15
06N1404	ROBERT I. FREY	USA	OR	Klamath	42.66	-121.85	Breeding	JUN	30	2006	15
06N1475	ROBERT I. FREY	USA	OR	Klamath	42.66	-121.85	Breeding	JUN	20	2006	15
07N1314	Robert I. Frey	USA	OR	Klamath	42.66	-121.85	Breeding	JUL	30	2007	15
08N1304		USA	OR	Klamath	42.66	-121.85	Breeding	JUN	4	2008	15
08N1379		USA	OR	Klamath	42.66	-121.85	Breeding	JUN	4	2008	15
08N1663		USA	OR	Klamath	42.66	-121.85	Breeding	JUN	20	2008	15
08N1665		USA	OR	Klamath	42.66	-121.85	Breeding	JUN	30	2008	15
97N5273		USA	NY	Brockport	43.18	-77.88	Breeding	AUG	1	1997	16
97N5259		USA	NY	Brockport	43.18	-77.88	Breeding	JUN	28	1997	16
97N5260		USA	NY	Brockport	43.18	-77.88	Breeding	99	99	1997	16
97N5261		USA	NY	Brockport	43.18	-77.88	Breeding	99	99	1997	16
97N5262		USA	NY	Brockport	43.18	-77.88	Breeding	JUL	13	1997	16
97N5267		USA	NY	Brockport	43.18	-77.88	Breeding	JUN	14	1997	16
97N5268		USA	NY	Brockport	43.18	-77.88	Breeding	JUN	14	1997	16
97N5269		USA	NY	Brockport	43.18	-77.88	Breeding	JUN	14	1997	16
97N5270		USA	NY	Brockport	43.18	-77.88	Breeding	AUG	1	1997	16
99N0688		USA	NY	Brockport	43.18	-77.88	Breeding	JUL	12	1999	16
97N5272		USA	NY	Brockport	43.18	-77.88	Breeding	AUG	1	1997	16
00N5479	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	26	2000	17
00N5480	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUN	21	2000	17
00N5481	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	19	2000	17
00N5482	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	19	2000	17
00N5483	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	19	2000	17
00N5484	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	19	2000	17
00N5485	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	19	2000	17
00N5486	JUNE FICKER	USA	ME	Wells	43.34	-70.55	Breeding	JUL	19	2000	17
08N22058	June Ficker	USA	ME	Wells	43.34	-70.55	Breeding	JUL	30	2008	17
10N16953	June Flicker	USA	ME	Wells	43.34	-70.55	Breeding	JUN	2	2010	17
10N16968	June Flicker	USA	ME	Wells	43.34	-70.55	Breeding	JUL	21	2010	17
11N2570	June Flicker	USA	ME	Wells	43.34	-70.55	Breeding	AUG	3	2011	17
7038	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
7039	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
7040	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
7037	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
7042	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
7043	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
7044	Lisle Gibbs	CAN	New Brunswick	Kent Island	44.6	-66.8	Breeding	JUN	NA	NA	18
07N28554	Missy Patty	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	21	2007	19
07N28571	Missy Patty	USA	MN	North Oaks	45.1	-93.06	Breeding	JUL	2	2007	19
07N28591	Missy Patty	USA	MN	North Oaks	45.1	-93.06	Breeding	JUL	2	2007	19
07N28640	Missy Patty	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	5	2007	19
07N28922	Missy Patty	USA	MN	North Oaks	45.1	-93.06	Breeding	JUL	2	2007	19
08N21408	"Missy Patty, Mary Messorli"	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	4	2008	19
08N21409	"Missy Patty, Mary Messorli"	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	4	2008	19
08N21430	"Missy Patty, Mary Messorli"	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	4	2008	19
08N21435	"Missy Patty, Mary Messorli"	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	4	2008	19
08N21446	"Missy Patty, Mary Messorli"	USA	MN	North Oaks	45.1	-93.06	Breeding	JUN	4	2008	19
08N21938	Missy Patty and Mary Messorli	USA	MN	North Oaks	45.1	-93.06	Breeding	JUL	22	2008	19
99N0522		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
99N0523		CAN	PQ	Montreal  	45.67	-73.52	Breeding	AUG	2	1999	20
99N0524		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
99N0525		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
99N0526		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
99N0527		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
99N0528		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
99N0529		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
