08N21435	0.019	0.005	0.018	0.547	0.412	
08N21446	0.042	0.003	0.002	0.950	0.003	
08N21938	0.259	0.093	0.247	0.395	0.005	
7040	0.946	0.008	0.004	0.034	0.007	
98N3510	0.329	0.004	0.008	0.578	0.082	
98N3517	0.780	0.004	0.005	0.181	0.030	
98N3518	0.393	0.030	0.008	0.528	0.042	
98N3519	0.410	0.005	0.004	0.566	0.015	
98N3520	0.218	0.004	0.002	0.758	0.018	
98N3521	0.207	0.005	0.004	0.745	0.038	
00N5114	0.017	0.003	0.485	0.486	0.010	
00N5115	0.085	0.100	0.762	0.034	0.019	
00N5116	0.025	0.013	0.526	0.111	0.326	
3101	0.002	0.001	0.974	0.005	0.018	
3102	0.004	0.013	0.279	0.005	0.699	
3103	0.017	0.004	0.632	0.071	0.277	
3104	0.008	0.023	0.953	0.004	0.012	
3105	0.003	0.010	0.558	0.006	0.423	
3106	0.006	0.004	0.491	0.012	0.487	
3107	0.010	0.009	0.949	0.011	0.021	
3108	0.012	0.005	0.964	0.015	0.004	
3109	0.012	0.009	0.459	0.297	0.222	
7037	0.982	0.008	0.002	0.007	0.002	
7042	0.977	0.007	0.002	0.013	0.002	
7043	0.986	0.006	0.001	0.005	0.002	
7044	0.989	0.003	0.001	0.005	0.002	
